bodyparts,RW,RW,RW,LW,LW,LW,RP,RP,RP,PP,PP,PP,LP,LP,LP,Nose,Nose,Nose,HB,HB,HB
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
83,439.9595032,342.2620544,1,436.1937561,677.9153442,1,418.0819397,436.4763489,1,411.0411072,506.0185547,1,415.9875488,573.1662598,1,931.8154297,343.9704895,0.999998331,917.866272,321.5704956,0.999988675
84,440.135376,342.2620544,0.999999523,436.253418,677.7928467,1,418.0582275,436.4763489,1,410.8852234,505.9664612,0.999999881,415.9875488,573.1662598,1,933.8266602,346.8050232,0.999995351,922.4788818,321.5704956,0.999958873
85,439.2883606,342.5500488,0.999931097,436.265686,677.7928467,1,418.0582275,436.4865723,1,410.8448486,505.8769836,1,415.9875488,573.210022,1,936.6939697,347.832428,0.999965072,924.4385376,325.8616333,0.999914408
86,439.7784424,342.5500488,0.999999404,436.253418,677.7928467,1,417.9629822,436.4865723,1,410.8448486,505.8362122,1,415.9875488,573.210022,1,938.791748,351.7019653,0.999826372,925.6810303,327.5197449,0.99996841
87,439.7784424,343.1081848,0.999999523,436.253418,677.8803711,1,417.9629822,436.4763489,1,410.8118896,505.8769836,0.999999881,415.8771973,573.1662598,1,941.7380371,354.7539673,0.998860717,929.8972168,327.9266052,0.999877572
88,439.9688416,342.5500488,0.999997973,436.2406921,677.8803711,1,417.8898621,436.4606628,1,410.8118896,505.8769836,1,415.8771973,573.1287842,1,941.8162231,354.7539673,0.328737974,929.8972168,327.9266052,0.999021173
89,439.7784424,342.1603088,0.999999642,436.2406921,677.9038086,1,417.9629822,436.4241333,1,410.8118896,506.064209,1,416.071167,573.1265259,1,947.0289917,361.3479919,0.366916984,931.1289063,331.3770752,0.999389648
90,439.7784424,342.1603088,0.999999046,436.2406921,677.8803711,1,417.9629822,436.4179993,1,411.0172424,506.069519,1,416.071167,573.1265259,1,948.6769409,361.6519775,0.016504453,939.5629272,333.5666504,0.181497306
91,439.9688416,342.3226318,0.999999881,436.2406921,677.8803711,1,417.8898621,436.4179993,1,410.8118896,506.119751,1,415.8398743,573.0923462,1,949.0975952,361.6519775,0.800685704,942.5180664,336.50354,0.999804676
92,439.999115,342.2273865,1,436.1870728,677.7419434,1,417.8898621,436.4179993,1,410.9635315,506.069519,0.999999881,416.2536926,573.0923462,1,949.1394043,350.3727112,0.105561502,945.812439,337.5223389,0.993263423
93,439.999115,342.3226318,1,436.1870728,677.6060181,1,417.8972473,436.545105,1,410.9635315,506.069519,1,416.0759277,573.2282715,1,953.4740601,346.3994751,0.016136974,946.322876,338.0627441,0.999193966
94,440.0080261,342.4370117,1,436.0179138,677.560791,1,417.8800659,436.545105,1,410.9635315,506.069519,0.999999881,416.0606689,573.7908936,0.999999404,959.0894165,346.3994751,0.262546182,951.6520996,338.4985352,0.940734565
95,440.0317078,342.3226318,1,435.9221802,677.6060181,1,417.8800659,436.6220398,1,410.8646545,505.9979248,1,416.0759277,573.7908936,0.999999881,960.7701416,346.3994751,0.288024276,952.6160889,338.7575989,0.96800226
96,440.018158,342.3712158,1,435.9221802,677.6060181,1,417.8800659,436.545105,1,410.8646545,505.9309387,1,416.0759277,573.7908936,0.999999881,968.8417969,359.944397,0.029579399,953.2768555,344.4354858,0.985837221
97,440.018158,342.4318542,1,435.9221802,677.6980591,1,417.8800659,436.5359802,1,410.8646545,505.9979248,1,416.0606689,572.8032227,0.999985456,972.4993896,363.1076965,0.005986739,953.5786743,350.3621216,0.986552
98,440.018158,342.3819275,1,435.9221802,677.7038574,1,417.8800659,436.5021057,1,410.9539185,505.9979248,0.999999881,415.9471436,572.8032227,0.999999642,968.8417969,363.1076965,0.002219287,953.5786743,352.9075012,0.981450081
99,440.018158,342.3712158,1,435.9898376,677.7038574,1,418.0560303,436.5182495,1,410.9539185,505.8544922,0.999998689,415.9471436,572.8032227,1,968.8417969,363.1076965,0.00217133,955.0361938,353.7634888,0.931277633
100,440.018158,342.3819275,1,436.1004333,677.7449951,1,418.0560303,436.5182495,1,411.072052,505.8544922,0.999999642,415.9471436,572.9901123,1,1589.60083,702.4816284,0.002336753,955.5723267,363.6829224,0.999959588
101,439.9804993,342.3819275,1,436.2189941,677.7449951,1,418.0560303,436.5021057,1,411.1928101,506.0332642,0.999999881,416.7834473,573.3425903,1,947.3942871,358.3713989,0.001902005,956.199585,365.2718506,0.999986053
102,440.0218506,342.3819275,1,436.2189941,677.6929321,1,417.9710388,436.5139465,1,411.4134216,506.020874,0.999999881,416.916748,573.4882813,1,947.3942871,358.3713989,0.002716108,956.4423828,366.2238464,0.999991059
103,440.0218506,342.4678955,1,436.2189941,677.6716309,1,417.9710388,436.5182495,1,411.1928101,506.020874,0.999999881,416.916748,573.4882813,0.999999881,949.3803101,358.8182068,0.005945808,956.199585,367.8108521,0.999997139
104,440.0075073,342.4698792,1,435.7674866,677.6716309,1,417.9015808,436.5264893,1,411.072052,506.020874,0.999999881,416.916748,573.4882813,0.999999881,954.8218384,359.7055359,0.083874315,956.199585,368.8075256,0.999971509
105,439.9845886,342.4698792,1,435.7674866,677.6716309,1,417.9710388,436.5264893,1,411.1717529,505.8802185,0.999999881,416.2409363,573.2735596,1,953.0341187,359.7055359,0.332621336,956.4423828,371.3706665,0.999961734
106,440.0075073,342.4742737,1,435.7674866,677.6929321,1,417.9782715,436.5264893,1,411.0505676,505.8710938,0.999999881,416.1575012,573.2735596,1,953.0341187,359.7055359,0.674935102,955.9691772,371.3706665,0.999927282
107,439.9867249,342.4698792,1,435.7894592,677.7197266,1,417.9782715,436.5264893,1,411.0505676,505.8084106,1,415.9936523,572.90271,1,953.0341187,359.7055359,0.485209197,955.4194946,371.9145508,0.999943256
108,440.0075073,342.4234009,1,435.9071655,677.7300415,1,417.9353638,436.497345,1,411.0505676,505.8084106,1,415.9936523,573.0998535,1,948.5134888,360.8902893,0.801441729,954.7841797,371.9145508,0.999871492
109,439.9867249,342.4234009,1,436.0971069,677.7838135,1,417.9782715,436.4585571,1,411.0505676,505.8084106,1,416.0682373,573.0998535,1,948.4343262,360.8902893,0.377555043,953.9910889,370.8013916,0.999959826
110,439.9867249,342.444519,1,436.0971069,677.7838135,1,417.9782715,436.4132385,1,410.9917603,505.7898865,1,416.0682373,573.0998535,1,948.4343262,362.0612488,0.131816417,953.5513306,369.4414368,0.999677539
111,439.9867249,342.444519,1,436.0971069,677.7686768,1,417.9980164,436.4585571,1,410.9917603,505.8084106,0.999999881,416.0215759,573.0998535,1,947.9766235,362.6857605,0.021562731,953.5513306,364.1571045,0.53426677
112,440.0296021,342.5010681,1,436.3418884,677.7838135,1,418.0070801,436.497345,1,410.9647217,505.8284302,1,416.0215759,573.1428223,1,946.8793335,374.7530212,0.001925837,945.2376099,360.3061218,0.931947351
113,439.9935608,342.5010681,1,436.0971069,677.7686768,1,418.0070801,436.5369873,1,410.9647217,505.8596802,1,415.9669189,573.1534424,1,936.4694824,376.9422913,0.130694926,936.3798218,360.3061218,0.999091148
114,439.9935608,342.4634094,1,435.786438,677.4411621,0.99996531,418.0070801,436.5369873,1,410.9647217,505.9503479,1,415.5452271,573.1534424,1,933.0249023,382.9846802,0.468867362,936.1185303,360.3061218,0.999733865
